Description,Code,C %,Si %,Mn %,S%,P%,Cr %,Ni %,Mo %,Cu %,Cost $/Kg,,
L2C,001,0.8,0.6539135714285714,0.8,0,0,2.1,0,0.3,0,0,,
,002,0,0,0,0,0,0,0,0,0,0,,
CT003,003,0.28,0.449825,0.8,0,0,1,0.9,0.3,0,0,,
GS42CrMo4V,004,0.4,0.4,0.85,0,0,0.95,0,0.25,0,0,,
CT005,005,0.28,0.5,1,0,0,0.5,1.75,0.4,0,0,,
BA327,006,0.27,0.45,0.95,0,0,0.5,1.7,0.37,0,0,,
WC9,007,0.1,0.5858454545454546,0.55,0,0,2.2,0,1,0,0,,
HC 86-30,008,0.31,0.35,0.85,0,0,0.55,0.65,0.2,0,0,,
13C,009,0.13,0.38605799999999996,0.3,0,0,0,0,0,0,0,,
15C,010,0.17,0.51739375,0.95,0,0,0,0,0,0,0,,
20C,011,0.21,0.36527,0.75,0,0,0,0,0,0,0,,
20C Mn,012,0.22,0.5254116666666666,1.4,0,0,0,0,0,0,0,,
23C,013,0.22,0.33718333333333333,0.85,0,0,0,0,0,0,0,,
23C LMn,014,0.23,0.4,0.5,0,0,0,0,0,0,0,,
30C,015,0.27,0.47474285714285713,0.7,0,0,0,0,0,0,0,,
30C Mn,016,0.3,0.4783185,1.4,0,0,0,0,0,0,0,,
40C,017,0.4,0.4,0.85,0,0,0,0,0,0,0,,
35C,018,0.32,0.50912,0.85,0,0,0,0,0,0,0,,
45C,019,0.45,0.4,0.8,0,0,0,0,0,0,0,,
55C,020,0.55,0.4,0.8,0,0,0,0,0,0,0,,
A6,021,0.28,0.46774999999999994,1.35,0,0,0,0,0,0,0,,
1.5Mn.Mo,022,0.31,0.35,1.5,0,0,0,0,0.35,0,0,,
L1A Mod1,023,0.22,0.35,1.35,0,0,0,0,0,0,0,,
1E1076,024,0.29,0.6,0.95,0,0,0.6,0.55,0.33,0,0,,
86-40,025,0.42,0.35,0.85,0,0,0.55,0.65,0.2,0,0,,
ASF-B+,026,0.28,0.4,0.78,0,0,0.55,0,0,0,0,,
CT027,027,0.27,0.6189337037037036,1,0,0,0.9,1.75,0.4,0,0,,
L2A Mod,028,0.48,0.5,0.8,0,0,1,0,0.3,0,0,,
L5D,029,0.23,0.5,0.6,0,0,3,0,0.5,0,0,,
Alloy 74,030,0.5,0.4,1.3,0,0,1,2,0.5,0,0,,
Boron,031,0.27,0.5,0.85,0,0,0.55,0,0.3,0,0,,
CT032,032,0.27,1.5,0.9,0,0,2,0,0.3,0,0,,
Cr 40,033,0.4,0.4,0.9,0,0,0.5,0,0,0,0,,
CT034,034,0.22,1.308652,0.85,0,0,1.75,1,0.35,0,0,,
2M37R,035,0.25,1.35,0.8,0,0,1.7,0.8,0.4,0,0,,
L2A,036,0.5,0.5,0.8,0,0,1,0,0,0,0,,
L2B,037,0.6,0.5,0.8,0,0,1.15,0,0.3,0,0,,
L2B8,038,0.8,0.4,0.8,0,0,1.9,0,0.3,0,0,,
L5E,039,0.14,0.4,0.55,0,0,1.15,0,0,0,0,,
SD3523,040,0.29,0.4,0.95,0,0,0.9,0.95,0.43,0,0,,
1E1257,041,0.26,0.5560240000000001,1,0,0,0.5,0.5,0.2,0,0,,
LC Cr Mo,042,0.6,0.4,0.85,0,0,2.4,0,0.35,0,0,,
HC Cr Mo,043,0.85,0.4,0.8,0,0,2.2,0,0.35,0,0,,
NiMo,044,0.18,0.35,0.55,0,0,0,1.8,0.6,0,0,,
