Melt Date,Grade Name,Grade Code,MPN,Description,F/c No.,Heat No.,Ladle,Melt Wt. (kg),C,Si,Mn,S,P,Cr,Ni,Mo,Cu,Al,Tap Temperature,Tap Wt,Pouring Temp,Pigged,Heel Mat,Heel Wt.,Scrap 1,S1 Wt,Scrap 2,S2 Wt,Scrap 3,S3 Wt,Scrap 4,S4 Wt,Returns 1,R1 Wt,Returns 2,R2 Wt,Returns 3,R3 Wt,Returns 4,R4 Wt,GRAF,FESI,HCMN,LCMN,HCCR,LCCR,NI,FEMO,CU,Aluminium,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Boron,Mg Fe Si,SUPERSEED,BARINOC,Operator,Power on,Power off,Start KW,END KW,Tap finish time,Difference In Kw
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,,0,,0,,0,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,BKM-E,077,,,F4,TEST-001,,3000,0.27,0.4,0.9,0,0,0,0,0,0,0,1550,5000,,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,sunda,,,,,,,,,,,,,,,,,,,,
2026-04-14,BKM-E,077,,,F1,H5682,BP1,1000,0.3055,0.3978,0.8891,0.0097,0.0113,0.5435,0.3951,0.2961,0.0079,0,1550,1000,,,077,500,FS1010,250,FS1020,250,,0,,0,,,,,,,,,0.76,1.92,2.15,0,3.3,0,1.95,2.23,0,0,0,,,,,,,SD,,,,,,
2026-04-14,86-30,066,,,F1,H5683,BP1,7920,0.3089,0.3991,0.793,0.0088,0.0112,0.4969,0.4974,0.1989,0.0075,0,1550,8000,,,066,4000,FS1010,1920,FS1020,2000,,0,,0,,,,,,,,,6.36,8.99,11.55,0,23.03,0,19.42,11.77,0,0,0,,,,,,,SD,,,,,,
