,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Deoxidation,,,,,,,,,,,,,
,,,,,,,,,,,,,,Furnace,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Furmace
,,,,,,,,,,,,,,Aluminium,Aluminium,Hypercal,Fe-Se,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Fe-B,Aluminium,Mg-Fe-Si,Barinoc,Superseed,Fe-Ti7O,Iron Pyrite
Description,Code,C_Aim,Si_Aim,Mn_Aim,S_Aim,P_Aim,Cr_Aim,Ni_Aim,Mo_Aim,Cu_Aim,Al_Aim,V_Aim,Check,FA1240,FA1240,FA1364,FA1365,FA1190,FA1210,FA1180,FA1160,FA1240,FA1011,FA1070,FA1197,FA1180,
L2C,001,0.8,0.5,0.8,0,0,2.1,0,0.3,0,0,0,0,0.025,0.015,0,0,0.176,0.12,0,0,0,0,0,0,0,0
,002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT003,003,0.28,0.3,0.8,0,0,1,0.9,0.3,0,0,0,0.025,0.03,0.02,0,0,0.15,0.12,0,0,0,0,0,0,0,0
GS42CrMo4V,004,0.4,0.4,0.85,0,0,0.95,0,0.25,0,0,0,0,0.044,0.05,0,0,0.13,0.12,0,0,0,0,0,0,0,0
CT005,005,0.28,0.5,1,0,0,0.5,1.75,0.4,0,0,0,0.03,0.04,0.04,0,0,0.1,0.12,0,0,0,0,0,0,0,0
BA327,006,0.27,0.45,0.95,0,0,0.5,1.7,0.37,0,0,0,0.03,0.03,0.018,0,0,0.1,0.12,0,0,0,0,0,0,0,0
WC9,007,0.1,0.45,0.55,0,0,2.2,0,1,0,0,0,0.03,0.023,0.02,0,0,0.13,0.12,0,0,0,0,0,0,0,0
HC 86-30,008,0.31,0.35,0.85,0,0,0.55,0.65,0.2,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
13C,009,0.13,0.4,0.3,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.13,0.12,0,0,0,0,0,0,0,0
15C,010,0.17,0.4,0.95,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0.13,0.12,0,0,0,0,0,0,0,0
20C,011,0.21,0.4,0.75,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.176,0.12,0,0,0,0,0,0,0,0
20C Mn,012,0.22,0.4,1.4,0,0,0,0,0,0,0,0,0,0.036,0.034,0,0,0.13,0.12,0,0,0,0,0,0,0,0
